TradeDateTime,Product,Contract,Price,Quantity
18/04/2022 00:37,Emission - Venue A,DA,20.5,60
18/04/2022 00:42,Emission - Venue A,DA,20.65,30
18/04/2022 00:42,Emission - Venue A,DA,20.65,30
18/04/2022 00:50,Emission - Venue A,DA,20.65,500
18/04/2022 00:54,Emission - Venue A,DA,20.65,100
18/04/2022 00:54,Emission - Venue A,DA,20.65,100
18/04/2022 01:11,Emission - Venue A,DA,20.65,100
18/04/2022 01:15,Emission - Venue A,DA,20.7,40
18/04/2022 01:52,Emission - Venue A,DA,20.65,45
18/04/2022 07:00,Energy,Q01,24.155,2
18/04/2022 07:00,Energy,Q01,24.155,3
18/04/2022 07:00,Energy,Q01,24.155,3
18/04/2022 07:00,Energy,Q01,24.155,2
18/04/2022 07:00,Energy,Q01,24.1075,2
18/04/2022 07:00,Energy,Q01,24.1075,1
18/04/2022 07:00,Energy,Q01,24.1175,1
18/04/2022 07:00,Energy,Q01,24.0975,1
18/04/2022 07:00,Energy,Q01,24.1225,1
18/04/2022 07:00,Energy,Q01,24.1225,1
18/04/2022 07:00,Energy,Q01,24.1125,1
18/04/2022 07:00,Energy,Q01,24.11,1
18/04/2022 07:00,Energy,Q01,24.11,1
18/04/2022 07:00,Energy,Q01,24.11,1
18/04/2022 07:00,Energy,Q01,24.1025,1
18/04/2022 07:00,Energy,Q01,24.1075,1
18/04/2022 07:00,Energy,Q01,24.0975,2
18/04/2022 07:00,Energy,Q01,24.0625,8
18/04/2022 07:00,Energy,Q01,24.0625,1
18/04/2022 07:00,Energy,Q01,24.0625,1
18/04/2022 07:00,Energy,Q01,24.1175,3
18/04/2022 07:00,Energy,Q01,24.115,1
18/04/2022 07:00,Energy,Q01,24.115,1
18/04/2022 07:00,Energy,Q01,24.115,1
18/04/2022 07:00,Energy,Q01,24.115,1
18/04/2022 07:00,Energy,Q01,24.13,3
18/04/2022 07:00,Energy,Q01,24.1225,1
18/04/2022 07:00,Energy,Q01,24.125,6
18/04/2022 07:00,Energy,Q01,24.1225,1
18/04/2022 07:00,Energy,Q01,24.1225,1
18/04/2022 07:00,Energy,Q01,24.1075,2
18/04/2022 07:00,Energy,Q01,24.105,1
18/04/2022 07:00,Energy,Q01,24.095,1
18/04/2022 07:00,Energy,Q01,24.0675,2
18/04/2022 07:00,Energy,Q01,24.075,2
18/04/2022 07:00,Energy,Q01,24.0775,2
18/04/2022 07:00,Energy,Q01,24.05,2
18/04/2022 07:00,Energy,Q01,24.0575,2
18/04/2022 07:00,Energy,Q01,23.9875,1
18/04/2022 07:00,Energy,Q01,24.0175,1
18/04/2022 07:00,Energy,Q01,24.0175,1
18/04/2022 07:00,Energy,Q01,24.005,1
18/04/2022 07:00,Energy,Q01,24.005,1
18/04/2022 07:00,Energy,Q01,23.96,1
18/04/2022 07:00,Energy,Q01,23.96,1
18/04/2022 07:00,Energy,Q01,23.96,1
18/04/2022 07:00,Energy,Q01,23.9625,1
18/04/2022 07:00,Energy,Q01,23.95,1
18/04/2022 07:00,Energy,Q01,23.95,1
18/04/2022 07:00,Energy,Q01,23.9475,1
18/04/2022 07:00,Energy,Q01,23.9475,1
18/04/2022 07:00,Energy,Q01,23.95,1
18/04/2022 07:00,Energy,Q01,23.95,1
18/04/2022 07:00,Energy,Q01,23.9475,1
18/04/2022 07:00,Energy,Q01,23.95,2
18/04/2022 07:00,Energy,Q01,23.9475,1
18/04/2022 07:00,Energy,Q01,23.9425,1
18/04/2022 07:00,Energy,Q01,23.9475,1
18/04/2022 07:01,Energy,Q01,24,1
18/04/2022 07:01,Energy,Q01,23.9875,2
18/04/2022 07:01,Energy,Q01,23.9975,1
18/04/2022 07:01,Energy,Q01,24,1
18/04/2022 07:01,Energy,Q01,23.98,1
18/04/2022 07:01,Energy,Q01,23.9625,1
18/04/2022 07:01,Energy,Q01,23.9625,1
18/04/2022 07:01,Energy,Q01,23.9725,1
18/04/2022 07:01,Energy,Q01,23.97,1
18/04/2022 07:02,Emission - Venue B,M01,19.2,10
18/04/2022 07:02,Emission - Venue B,M01,19.2,5
18/04/2022 07:02,Emission - Venue B,M01,19.2,5
18/04/2022 07:02,Energy,Q01,23.975,2
18/04/2022 07:02,Emission - Venue B,M01,19.2,5
18/04/2022 07:02,Emission - Venue B,M01,19.2,5
18/04/2022 07:02,Energy,Q01,23.985,1
18/04/2022 07:02,Emission - Venue B,M01,19.2,10
18/04/2022 07:02,Energy,Q01,23.975,1
18/04/2022 07:02,Energy,Q01,23.97,2
18/04/2022 07:02,Energy,Q01,23.975,1
18/04/2022 07:02,Energy,Q01,23.97,1
18/04/2022 07:02,Energy,Q01,23.97,1
18/04/2022 07:02,Energy,Q01,23.97,1
18/04/2022 07:02,Energy,Q01,23.97,1
18/04/2022 07:02,Energy,Q01,23.97,1
18/04/2022 07:02,Energy,Q01,23.97,1
18/04/2022 07:03,Energy,Q01,23.97,1
18/04/2022 07:03,Energy,Q01,23.9625,3
18/04/2022 07:03,Energy,Q01,23.9575,1
18/04/2022 07:03,Energy,Q01,23.9575,1
18/04/2022 07:03,Energy,Q01,23.9575,1
18/04/2022 07:03,Energy,Q01,23.9575,1
18/04/2022 07:03,Energy,Q01,23.9575,1
18/04/2022 07:03,Energy,Q01,23.95,5
18/04/2022 07:03,Energy,Q01,23.945,1
18/04/2022 07:03,Energy,Q01,23.9575,1
18/04/2022 07:03,Energy,Q01,23.9575,2
18/04/2022 07:03,Energy,Q01,23.9575,1
18/04/2022 07:03,Energy,Q01,23.9575,1
18/04/2022 07:03,Energy,Q01,23.9575,1
18/04/2022 07:03,Energy,Q01,23.9575,1
18/04/2022 07:03,Energy,Q01,23.9575,1
18/04/2022 07:03,Energy,Q01,23.9625,1
18/04/2022 07:03,Energy,Q01,23.9575,2
18/04/2022 07:03,Energy,Q01,23.9675,1
18/04/2022 07:03,Energy,Q01,23.945,1
18/04/2022 07:03,Energy,Q01,23.9475,1
18/04/2022 07:04,Energy,Q01,23.9675,1
18/04/2022 07:04,Energy,Q01,23.975,3
18/04/2022 07:04,Energy,Q01,23.975,1
18/04/2022 07:04,Energy,Q01,23.97,1
18/04/2022 07:04,Energy,Q01,23.97,1
18/04/2022 07:04,Energy,Q01,23.975,1
18/04/2022 07:04,Energy,Q01,23.9725,1
18/04/2022 07:04,Energy,Q01,23.975,1
18/04/2022 07:04,Energy,Q01,23.975,1
18/04/2022 07:04,Energy,Q01,23.9725,1
18/04/2022 07:04,Energy,Q01,23.975,3
18/04/2022 07:05,Energy,Q01,23.96,1
18/04/2022 07:05,Energy,Q01,23.945,1
18/04/2022 07:05,Energy,Q01,23.945,1
18/04/2022 07:05,Energy,Q01,23.9475,1
18/04/2022 07:05,Energy,Q01,23.95,2
18/04/2022 07:05,Energy,Q01,23.955,1
18/04/2022 07:06,Energy,Q01,23.95,1
18/04/2022 07:06,Energy,Q01,23.945,1
18/04/2022 07:06,Energy,Q01,23.9475,1
18/04/2022 07:06,Energy,Q01,23.95,1
18/04/2022 07:06,Energy,Q01,23.95,1
18/04/2022 07:06,Energy,Q01,23.95,1
18/04/2022 07:06,Energy,Q01,23.95,3
18/04/2022 07:06,Energy,Q01,23.95,3
18/04/2022 07:06,Energy,Q01,23.945,1
18/04/2022 07:06,Energy,Q01,23.945,1
18/04/2022 07:06,Energy,Q01,23.945,1
18/04/2022 07:06,Energy,Q01,23.945,1
18/04/2022 07:06,Energy,Q01,23.945,1
18/04/2022 07:06,Energy,Q01,23.945,1
18/04/2022 07:06,Energy,Q01,23.945,1
18/04/2022 07:06,Energy,Q01,23.9375,1
18/04/2022 07:06,Energy,Q01,23.9375,1
18/04/2022 07:06,Energy,Q01,23.945,1
18/04/2022 07:06,Energy,Q01,23.9425,1
18/04/2022 07:06,Energy,Q01,23.9425,1
18/04/2022 07:06,Energy,Q01,23.9375,1
18/04/2022 07:06,Energy,Q01,23.9375,1
18/04/2022 07:06,Energy,Q01,23.9375,2
18/04/2022 07:06,Energy,Q01,23.9375,1
18/04/2022 07:06,Energy,Q01,23.9375,1
18/04/2022 07:06,Energy,Q01,23.9375,1
18/04/2022 07:06,Energy,Q01,23.9375,1
18/04/2022 07:06,Energy,Q01,23.9375,1
18/04/2022 07:06,Energy,Q01,23.9375,1
18/04/2022 07:06,Energy,Q01,23.9375,1
18/04/2022 07:06,Energy,Q01,23.9375,1
18/04/2022 07:06,Energy,Q01,23.9375,1
18/04/2022 07:06,Energy,Q01,23.9375,1
18/04/2022 07:06,Energy,Q01,23.9375,1
18/04/2022 07:06,Energy,Q01,23.9375,1
18/04/2022 07:06,Energy,Q01,23.9375,1
18/04/2022 07:06,Energy,Q01,23.9375,1
18/04/2022 07:06,Energy,Q01,23.9375,1
18/04/2022 07:06,Energy,Q01,23.9375,1
18/04/2022 07:06,Energy,Q01,23.9375,1
18/04/2022 07:06,Energy,Q01,23.9375,1
18/04/2022 07:06,Energy,Q01,23.9375,1
18/04/2022 07:06,Energy,Q01,23.94,1
18/04/2022 07:06,Energy,Q01,23.9475,1
18/04/2022 07:06,Energy,Q01,23.9375,1
18/04/2022 07:06,Energy,Q01,23.9375,1
18/04/2022 07:06,Emission - Venue B,M01,18.99875,10
18/04/2022 07:06,Energy,Q01,23.9375,1
18/04/2022 07:06,Energy,Q01,23.93,2
18/04/2022 07:06,Energy,Q01,23.9375,1
18/04/2022 07:06,Energy,Q01,23.93,1
18/04/2022 07:06,Energy,Q01,23.93,1
18/04/2022 07:06,Energy,Q01,23.93,1
18/04/2022 07:06,Energy,Q01,23.93,1
18/04/2022 07:06,Energy,Q01,23.93,2
18/04/2022 07:06,Energy,Q01,23.93,1
18/04/2022 07:07,Energy,Q01,23.93,1
18/04/2022 07:07,Energy,Q01,23.9175,2
18/04/2022 07:07,Energy,Q01,23.93,1
18/04/2022 07:07,Energy,Q01,23.9275,1
18/04/2022 07:07,Energy,Q01,23.925,1
18/04/2022 07:07,Energy,Q01,23.925,1
18/04/2022 07:07,Energy,Q01,23.93,1
18/04/2022 07:07,Energy,Q01,23.925,1
18/04/2022 07:07,Energy,Q01,23.9375,4
18/04/2022 07:07,Energy,Q01,23.935,1
18/04/2022 07:07,Energy,Q01,23.9325,1
18/04/2022 07:07,Energy,Q01,23.9325,1
18/04/2022 07:07,Energy,Q01,23.9375,4
18/04/2022 07:07,Energy,Q01,23.925,4
18/04/2022 07:07,Energy,Q01,23.9275,1
18/04/2022 07:07,Energy,Q01,23.9275,1
18/04/2022 07:07,Energy,Q01,23.9375,4
18/04/2022 07:07,Energy,Q01,23.9375,1
18/04/2022 07:07,Energy,Q01,23.9375,4
18/04/2022 07:07,Energy,Q01,23.9375,1
18/04/2022 07:07,Energy,Q01,23.94,1
18/04/2022 07:07,Energy,Q01,23.95,2
18/04/2022 07:07,Energy,Q01,23.95,1
18/04/2022 07:07,Energy,Q01,23.96,1
18/04/2022 07:07,Energy,Q01,23.95,2
18/04/2022 07:07,Energy,Q01,23.96,1
18/04/2022 07:07,Energy,Q01,23.96,1
18/04/2022 07:07,Energy,Q01,23.94,1
18/04/2022 07:07,Energy,Q01,23.9375,1
18/04/2022 07:07,Energy,Q01,23.9375,1
18/04/2022 07:07,Energy,Q01,23.94,1
18/04/2022 07:07,Energy,Q01,23.94,1
18/04/2022 07:07,Energy,Q01,23.9375,1
18/04/2022 07:07,Energy,Q01,23.9475,1
18/04/2022 07:07,Energy,Q01,23.9475,1
18/04/2022 07:07,Energy,Q01,23.95,1
18/04/2022 07:07,Energy,Q01,23.94,1
18/04/2022 07:07,Energy,Q01,23.9575,1
18/04/2022 07:07,Energy,Q01,23.9575,1
18/04/2022 07:08,Energy,Q01,23.965,1
